diary_entry,mood,happy,sad,satisfied,proud,anxious,angry,afraid,jealous
"Heute war irgendwie eine seltsame Mischung. halt, Ich hasse dieses Gefühl, aber ich war so neidisch auf äh, ihre Urlaubsbilder. Ich habe einen langen also, Spaziergang gemacht und den Kopf freigekriegt, das tat gut. Ich mache mir jetzt noch einen Tee und entspanne.",0.21,0,0,1,0,0,0,0,1
"Ehrlich gesagt war heute ein ganz schöner Ritt. Ich habe mich also, total erschrocken, als mich fast ein Auto auf dem Zebrastreifen erfasst hätte. Ich ähm, habe heute etwas Zeit mit absolutem Nichtstun verbracht und es war perfekt. Tja, das war mein Tag im Großen und Ganzen.",0.03,0,0,1,0,0,0,1,0
"Eigentlich muss ich einfach mal ein bisschen Dampf ablassen. also, Ich also, habe heute für mich selbst eingestanden und mich richtig stark und selbstbewusst gefühlt. Ich hoffe auf einen ruhigeren Tag morgen.",0.95,0,0,0,1,0,0,0,0
"Na ja, heute ist einiges passiert. Ich hasse dieses Gefühl, aber halt, ich war so neidisch auf ihre Urlaubsbilder. Zeit, den Kopf für heute auszuschalten.",-0.39,0,0,0,0,0,0,0,1
"Man, today was something else. uh, The thought of failure is so scary that it makes me want to stop trying. Going to make myself some tea and unwind.",-0.84,0,0,0,0,0,0,1,0
"Today was a weird mix of things. I stayed disciplined and stuck to kind of, my routine even when I wanted to quit. I kept worrying about uh, the future today and felt really restless. Just going to try and relax now.",0.2,0,0,0,1,1,0,0,0
"Dear diary, it's me again. um, I had a minor panic today when I thought about failing. Going to make myself some tea and unwind.",-0.77,0,0,0,0,0,0,1,0
"Mal schauen, wie ich heute am besten beschreibe. irgendwie, Ich bin gerade einfach nur dankbar und sozusagen, glücklich für die tollen Menschen in meinem Leben. Tut echt gut, das mal ausgesprochen zu haben.",0.66,1,0,0,0,0,0,0,0
"Dear diary, it's me again. I felt completely unappreciated and treated like garbage today. I managed to create something beautiful today through sheer so basically, hard work. I'm just too tired to think about it anymore.",0.2,0,0,0,1,0,1,0,0
"Today was a weird mix of things. you know, I kept checking my emails and notifications, you know, feeling so nervous about a reply. Well, that was my day in a nutshell.",-0.62,0,0,0,0,1,0,0,0
